FileType = repricing,  Version = 1.2.2 (Please do not edit this line or this will result in error when uploading)
Channel	SellerSKU	Cost	Rule Name	Min Price	Max Price	Shipping	add-delete	Group	Enable Repricing
Amazon US	KD-4ZNR-YRTZ		0-10$	61.28	11000000	0		123	1
Amazon US	H7-463Y-UMCY		0-10$	18.22	11000000	0		123	1
Amazon US	HG-2X6T-7B0A		0-10$	20.96	11000000	0		123	1
Amazon US	6G-G7QW-1BDG		0-10$	99.03	11000000	0		123	1
Amazon US	B2-7435-B4DW		0-10$	21.52	11000000	0		123	1
Amazon US	10-SML2-QL4P		0-10$	24.48	11000000	0		123	1
Amazon US	K4-XCTI-DWZ2		0-10$	54.33	11000000	0		123	1
Amazon US	V9-P11U-UVS6		0-10$	24.36	11000000	0		123	1
Amazon US	H0-QWP3-AT2I		0-10$	11.67	11000000	0		123	1
Amazon US	XS-ET2P-1W52		0-10$	28.2	11000000	0		123	1
Amazon US	DA-F2QX-RMWB		0-10$	34.97	11000000	0		123	1
Amazon US	WR-PC13-6RCT		0-10$	16.51	11000000	0		123	1
Amazon US	69-5XD5-5JSV		0-10$	26.48	11000000	0		123	1
Amazon US	DN-QUZL-INV3		0-10$	26.58	11000000	0		123	1
Amazon US	EB-QQ9W-70I6		0-10$	51.51	11000000	0		123	1
Amazon US	ZV-A4NZ-BNX0		0-10$	22.44	11000000	0		123	1
Amazon US	SP-TIH6-R0YV		0-10$	26.34	11000000	0		123	1
Amazon US	FD-MTUL-WV2S		0-10$	31.9	11000000	0		123	1
Amazon US	9Q-3RX4-JM67		0-10$	36.62	11000000	0		123	1
Amazon US	B3-9STB-QP2D		0-10$	30.32	11000000	0		123	1
Amazon US	D0-4EPF-D5BX		0-10$	41.87	11000000	0		123	1
Amazon US	OU-NTF7-72SW		0-10$	92.59	11000000	0		123	1
Amazon US	FI-TT5L-IA97		0-10$	31.19	11000000	0		123	1
Amazon US	IH-9IP2-5UWY		0-10$	135.86	11000000	0		123	1
Amazon US	3X-4T41-IJ2V		0-10$	14.76	11000000	0		123	1
Amazon US	5C-ZFO3-JR71		0-10$	9999999	11000000	0		123	0
Amazon US	IX-0NI1-2H3V		0-10$	186.04	11000000	0		123	1
Amazon US	F9-R6RL-RHTH		0-10$	113.04	11000000	0		123	1
Amazon US	D2-LVOX-F094		0-10$	261.87	11000000	0		123	1
Amazon US	HN-FYZ1-K5FV		0-10$	257.96	11000000	0		123	1
Amazon US	1L-YLV0-F0L2		0-10$	60.86	11000000	0		123	1
Amazon US	XD-RI3I-BIJ7		0-10$	10.88	11000000	0		123	1
Amazon US	U8-83KQ-5177		0-10$	11.12	11000000	0		123	1
Amazon US	R8-DZVW-0P00		0-10$	21.12	11000000	0		123	1
Amazon US	SQ-ZUXV-FXB3		0-10$	9999999	11000000	0		123	0
Amazon US	NS-E53B-4ZFC		0-10$	38.62	11000000	0		123	1
Amazon US	86-YAAU-D97G		0-10$	34.64	11000000	0		123	1
Amazon US	Y0-LM2T-FFBV		0-10$	162.27	11000000	0		123	1
Amazon US	32-S86V-8GU8		0-10$	68.9	11000000	0		123	1
Amazon US	XR-AXBY-6J5N		0-10$	65.68	11000000	0		123	1
Amazon US	1R-NZTF-T19G		0-10$	65.3	11000000	0		123	1
Amazon US	B1-HQAJ-404A		0-10$	25.68	11000000	0		123	1
Amazon US	7L-NL0J-X1U2		0-10$	195.66	11000000	0		123	1
Amazon US	CN-CLBO-O9HJ		0-10$	105.12	11000000	0		123	1
Amazon US	WZ-MXD7-HK95		0-10$	20.08	11000000	0		123	1
Amazon US	GO-EQGH-3EUL		0-10$	141.77	11000000	0		123	1
Amazon US	YV-10Y5-S9TY		0-10$	254.73	11000000	0		123	1
Amazon US	ZA-EHVT-SU21		0-10$	178.65	11000000	0		123	1
Amazon US	WQ-G21O-4G0S		0-10$	165.58	11000000	0		123	1
Amazon US	ZT-XQDY-P78E		0-10$	25.09	11000000	0		123	1
Amazon US	11-LMDZ-YH81		0-10$	24.61	11000000	0		123	1
Amazon US	GL-UQ0C-U22V		0-10$	23.95	11000000	0		123	1
