FileType = repricing,  Version = 1.2.2 (Please do not edit this line or this will result in error when uploading)
Channel	SellerSKU	Cost	Rule Name	Min Price	Max Price	Shipping	add-delete	Group	Enable Repricing
Amazon US	HY-APDE-SLFI		0-10$	42.1	11000000	0		123	0
Amazon US	MV-RTYI-6O5X		0-10$	43.9	11000000	0		123	0
Amazon US	UO-ZDHJ-48UN		0-10$	39.41	11000000	0		123	0
Amazon US	TV-OA2Q-HAXQ		0-10$	10.78	11000000	0		123	0
Amazon US	UE-2QTH-A3IT		0-10$	11.0	11000000	0		123	0
Amazon US	7I-JLAV-WYAN		0-10$	9.38	11000000	0		123	0
Amazon US	T7-Z5KF-XIK9		0-10$	27.3	11000000	0		123	0
Amazon US	CH-ONHM-0LJ6		0-10$	10.21	11000000	0		123	0
Amazon US	39-2LDX-I8DN		0-10$	19.62	11000000	0		123	0
Amazon US	4I-CE51-W70K		0-10$	17.51	11000000	0		123	0
Amazon US	W9-XZOS-13CI		0-10$	16.76	11000000	0		123	0
Amazon US	XY-SO32-FXVN		0-10$	11.57	11000000	0		123	0
Amazon US	QO-HKDH-B3GJ		0-10$	13.95	11000000	0		123	0
Amazon US	0N-EMOI-6CVK		0-10$	16.54	11000000	0		123	0
Amazon US	MV-66WF-9DFV		0-10$	65.87	11000000	0		123	0
Amazon US	C4-13MR-EF2Y		0-10$	14.97	11000000	0		123	0
Amazon US	JD-QYXR-IMNH		0-10$	16.85	11000000	0		123	0
Amazon US	QI-RDAZ-GX45		0-10$	9.51	11000000	0		123	0
Amazon US	I8-2ECP-V3EC		0-10$	35.83	11000000	0		123	0
Amazon US	TO-H0WK-ZZT9		0-10$	76.41	11000000	0		123	0
Amazon US	4V-TO24-NWM5		0-10$	210.82	11000000	0		123	0
Amazon US	TC-ZBZ3-F2J5		0-10$	36.88	11000000	0		123	0
Amazon US	08-1DTF-EYEB		0-10$	97.95	11000000	0		123	0
Amazon US	QI-A8VQ-V7G0		0-10$	80.19	11000000	0		123	0
Amazon US	DU-2IWS-JJBG		0-10$	85.5	11000000	0		123	0
Amazon US	Z0-2U2V-AR30		0-10$	31.72	11000000	0		123	0
Amazon US	JZ-8BWA-YWP9		0-10$	41.94	11000000	0		123	0
Amazon US	P8-SDPD-G1F8		0-10$	16.98	11000000	0		123	0
Amazon US	GW-BBO1-K1ZK		0-10$	20.41	11000000	0		123	0
Amazon US	IK-X1F5-MF6L		0-10$	25.39	11000000	0		123	0
